Frame,EAR,Blinks,Blink_STD,Pupil_Delta,Gaze_Instability,AU_Score,AU_StressPoints,Stress_Score
275,0.35,11,1.31,0.17,3.3498,1.12,2.7,3
276,0.34,11,1.31,0.17,3.3501,1.12,2.7,3
277,0.33,11,1.31,0.17,3.3501,0.97,1.5,3
278,0.30,11,1.31,0.17,3.3486,0.97,1.5,3
279,0.30,11,1.31,0.17,3.3469,0.97,1.5,3
280,0.13,12,1.26,0.17,3.3452,0.97,1.5,3
281,0.28,12,1.26,0.17,3.3436,0.97,1.5,3
282,0.23,12,1.26,0.17,3.3420,0.97,1.5,3
283,0.30,12,1.26,0.17,3.3412,0.97,1.5,3
284,0.28,12,1.26,0.17,3.3403,0.97,1.5,3
285,0.13,13,1.24,0.17,3.3415,0.97,1.5,3
286,0.27,13,1.24,0.17,3.3412,0.97,1.5,3
287,0.30,13,1.24,0.17,3.3414,0.97,1.5,3
288,0.28,13,1.24,0.17,3.3416,0.97,1.5,3
289,0.13,14,1.22,0.17,3.3425,0.97,1.5,3
290,0.24,14,1.22,0.17,3.3427,0.97,1.5,3
291,0.29,14,1.22,0.17,3.3433,0.97,1.5,3
292,0.27,14,1.22,0.17,3.3438,0.97,1.5,3
293,0.12,15,1.21,0.17,3.3457,0.97,1.5,3
294,0.17,15,1.21,0.17,3.3464,0.97,1.5,3
295,0.27,15,1.21,0.17,3.3473,0.97,1.5,3
296,0.29,15,1.21,0.17,3.3483,0.97,1.5,3
297,0.30,15,1.21,0.17,3.3493,0.82,1.5,3
298,0.30,15,1.21,0.17,3.3502,0.82,1.5,3
299,0.30,15,1.21,0.17,3.3511,0.82,1.5,3
300,0.31,15,1.21,0.17,3.3520,0.82,1.5,3
301,0.29,15,1.21,0.17,3.3534,0.82,1.5,3
302,0.33,15,1.21,0.17,3.3564,0.82,1.5,3
303,0.33,15,1.21,0.17,3.3594,0.82,1.5,3
304,0.33,15,1.21,0.17,3.3621,0.82,1.5,3
305,0.31,15,1.21,0.17,3.3643,0.82,1.5,3
306,0.12,16,1.17,0.17,3.3645,0.82,1.5,3
307,0.09,16,1.17,0.17,3.3643,0.82,1.5,3
308,0.08,16,1.17,0.17,3.3640,0.82,1.5,3
309,0.09,16,1.17,0.17,3.3631,0.82,1.5,3
310,0.10,16,1.17,0.17,3.3620,0.82,1.5,3
311,0.09,16,1.17,0.17,3.3609,0.82,1.5,3
312,0.09,16,1.17,0.17,3.3597,1.14,0.0,0
313,0.12,16,1.17,0.17,3.3582,1.14,0.0,0
314,0.14,16,1.17,0.17,3.3568,1.14,0.0,0
315,0.21,16,1.17,0.17,3.3550,1.14,0.0,0
316,0.23,16,1.17,0.17,3.3530,1.14,0.0,0
317,0.23,16,1.17,0.17,3.3510,1.14,0.0,0
318,0.24,16,1.17,0.17,3.3489,1.14,0.0,0
319,0.25,16,1.17,0.17,3.3467,1.14,0.0,0
320,0.10,17,1.13,0.17,3.3446,1.14,0.0,0
321,0.23,17,1.13,0.17,3.3420,1.14,0.0,0
322,0.26,17,1.13,0.17,3.3395,1.14,0.0,0
323,0.29,17,1.13,0.17,3.3378,1.14,0.0,0
324,0.30,17,1.13,0.17,3.3364,1.14,0.0,0
325,0.29,17,1.13,0.17,3.3353,1.14,0.0,0
326,0.30,17,1.13,0.17,3.3345,1.14,0.0,0
327,0.30,17,1.13,0.17,3.3335,1.14,0.0,0
328,0.08,18,1.11,0.17,3.3319,1.14,0.0,0
329,0.25,18,1.11,0.17,3.3307,1.14,0.0,0
330,0.28,18,1.11,0.17,3.3293,1.14,0.0,0
331,0.12,19,1.10,0.17,3.3289,1.14,0.0,0
332,0.19,19,1.10,0.17,3.3276,1.14,0.0,0
333,0.34,19,1.10,0.17,3.3293,0.00,0.0,0
334,0.36,19,1.10,0.17,3.3307,0.00,0.0,0
335,0.36,19,1.10,0.17,3.3322,0.00,0.0,0
336,0.37,19,1.10,0.17,3.3324,0.00,0.0,0
337,0.11,20,1.08,0.19,3.3303,0.00,0.0,0
338,0.25,20,1.08,0.19,3.3263,0.00,0.0,0
339,0.31,20,1.08,0.19,3.3243,0.00,0.0,0
340,0.33,20,1.08,0.19,3.3209,0.00,0.0,0
341,0.35,20,1.08,0.19,3.3179,0.00,0.0,0
342,0.37,20,1.08,0.19,3.3142,0.00,0.0,0
343,0.38,20,1.08,0.19,3.3106,0.00,0.0,0
344,0.36,20,1.08,0.19,3.3070,0.00,0.0,0
345,0.37,20,1.08,0.19,3.3033,0.00,0.0,0
346,0.37,20,1.08,0.19,3.2996,0.00,0.0,0
347,0.36,20,1.08,0.19,3.2960,0.00,0.0,0
348,0.36,20,1.08,0.19,3.2925,0.00,0.0,0
349,0.36,20,1.08,0.19,3.2890,0.00,0.0,0
350,0.37,20,1.08,0.19,3.2855,0.00,0.0,0
351,0.38,20,1.08,0.19,3.2823,0.00,0.0,0
352,0.37,20,1.08,0.19,3.2795,0.00,0.0,0
353,0.37,20,1.08,0.19,3.2764,0.89,0.0,0
354,0.37,20,1.08,0.19,3.2722,0.89,0.0,0
355,0.34,20,1.08,0.19,3.2680,0.89,0.0,0
356,0.33,20,1.08,0.19,3.2646,0.89,0.0,0
357,0.36,20,1.08,0.19,3.2613,0.89,0.0,0
358,0.36,20,1.08,0.19,3.2572,0.89,0.0,0
359,0.36,20,1.08,0.19,3.2531,0.89,0.0,0
360,0.35,20,1.08,0.19,3.2490,0.89,0.0,0
361,0.36,20,1.08,0.19,3.2449,0.89,0.0,0
362,0.37,20,1.08,0.19,3.2407,0.89,0.0,0
363,0.33,20,1.08,0.19,3.2366,0.89,0.0,0
364,0.12,21,1.08,0.19,3.2335,0.89,0.0,0
365,0.13,21,1.08,0.19,3.2317,0.89,0.0,0
366,0.32,21,1.08,0.19,3.2301,0.89,0.0,0
367,0.37,21,1.08,0.19,3.2286,0.89,0.0,0
368,0.37,21,1.08,0.19,3.2272,0.89,0.0,0
369,0.37,21,1.08,0.19,3.2276,0.89,0.0,0
370,0.39,21,1.08,0.19,3.2283,0.89,0.0,0
371,0.38,21,1.08,0.19,3.2283,0.89,0.0,0
372,0.39,21,1.08,0.19,3.2272,0.89,0.0,0
373,0.39,21,1.08,0.19,3.2259,0.64,0.0,0
374,0.38,21,1.08,0.19,3.2242,0.64,0.0,0
375,0.39,21,1.08,0.19,3.2228,0.64,0.0,0
376,0.38,21,1.08,0.19,3.2214,0.64,0.0,0
377,0.38,21,1.08,0.19,3.2204,0.64,0.0,0
378,0.37,21,1.08,0.19,3.2194,0.64,0.0,0
379,0.36,21,1.08,0.19,3.2184,0.64,0.0,0
380,0.37,21,1.08,0.19,3.2169,0.64,0.0,0
381,0.35,21,1.08,0.19,3.2152,0.64,0.0,0
382,0.35,21,1.08,0.19,3.2134,0.64,0.0,0
383,0.34,21,1.08,0.19,3.2117,0.64,0.0,0
384,0.34,21,1.08,0.19,3.2099,0.64,0.0,0
385,0.32,21,1.08,0.19,3.2078,0.64,0.0,0
386,0.33,21,1.08,0.19,3.2058,0.64,0.0,0
387,0.32,21,1.08,0.19,3.2038,0.64,0.0,0
388,0.28,21,1.08,0.19,3.2007,0.64,0.0,0
389,0.33,21,1.08,0.19,3.1972,0.98,0.7,2
390,0.34,21,1.08,0.19,3.1937,0.98,0.7,2
391,0.34,21,1.08,0.19,3.1901,0.98,0.7,2
392,0.34,21,1.08,0.19,3.1865,0.98,0.7,2
393,0.35,21,1.08,0.19,3.1829,0.98,0.7,2
394,0.35,21,1.08,0.19,3.1793,0.98,0.7,2
395,0.33,21,1.08,0.19,3.1756,0.98,0.7,2
396,0.25,21,1.08,0.19,3.1724,0.98,0.7,2
397,0.25,21,1.08,0.19,3.1694,0.98,0.7,2
398,0.34,21,1.08,0.19,3.1664,0.98,0.7,2
399,0.36,21,1.08,0.19,3.1634,0.98,0.7,2
400,0.36,21,1.08,0.19,3.1603,0.98,0.7,2
401,0.37,21,1.08,0.19,3.1573,0.98,0.7,2
402,0.37,21,1.08,0.19,3.1543,0.98,0.7,2
403,0.37,21,1.08,0.19,3.1514,0.98,0.7,2
404,0.36,21,1.08,0.19,3.1485,0.98,0.7,2
405,0.37,21,1.08,0.19,3.1456,0.98,0.7,2
406,0.33,21,1.08,0.19,3.1427,0.98,0.7,2
407,0.10,22,1.19,0.19,3.1399,0.98,0.7,2
408,0.11,22,1.19,0.19,3.1371,0.73,0.7,3
409,0.28,22,1.19,0.19,3.1342,0.73,0.7,3
410,0.10,23,1.18,0.19,3.1315,0.73,0.7,3
411,0.25,23,1.18,0.19,3.1287,0.73,0.7,3
412,0.30,23,1.18,0.19,3.1257,0.73,0.7,3
413,0.31,23,1.18,0.19,3.1227,0.73,0.7,3
414,0.30,23,1.18,0.19,3.1198,0.73,0.7,3
415,0.14,24,1.16,0.19,3.1172,0.73,0.7,3
416,0.27,24,1.16,0.19,3.1142,0.73,0.7,3
417,0.31,24,1.16,0.19,3.1112,0.73,0.7,3
418,0.32,24,1.16,0.19,3.1082,0.73,0.7,3
419,0.32,24,1.16,0.19,3.1052,0.73,0.7,3
420,0.17,25,1.15,0.19,3.1026,0.73,0.7,3
421,0.26,25,1.15,0.19,3.0996,0.73,0.7,3
422,0.31,25,1.15,0.19,3.0965,0.73,0.7,3
423,0.31,25,1.15,0.19,3.0935,0.73,0.7,3
424,0.17,26,1.14,0.19,3.0906,0.89,2.2,3
425,0.27,26,1.14,0.19,3.0876,0.89,2.2,3
426,0.32,26,1.14,0.19,3.0846,0.89,2.2,3
427,0.31,26,1.14,0.19,3.0815,0.89,2.2,3
428,0.15,27,1.13,0.19,3.0787,0.89,2.2,3
429,0.27,27,1.13,0.19,3.0757,0.89,2.2,3
430,0.27,27,1.13,0.19,3.0727,0.89,2.2,3
431,0.15,28,1.12,0.19,3.0700,0.89,2.2,3
432,0.21,28,1.12,0.19,3.0671,0.89,2.2,3
433,0.30,28,1.12,0.19,3.0640,0.89,2.2,3
434,0.33,28,1.12,0.19,3.0609,0.89,2.2,3
435,0.35,28,1.12,0.19,3.0579,0.89,2.2,3
436,0.30,28,1.12,0.19,3.0546,0.89,2.2,3
437,0.32,28,1.12,0.19,3.0512,0.89,2.2,3
438,0.32,28,1.12,0.19,3.0479,0.89,2.2,3
439,0.32,28,1.12,0.19,3.0446,0.89,2.2,3
440,0.24,28,1.12,0.19,3.0415,0.89,2.2,3
441,0.24,28,1.12,0.19,3.0382,0.89,2.2,3
442,0.30,28,1.12,0.19,3.0350,0.89,2.2,3
443,0.31,28,1.12,0.19,3.0318,0.89,2.2,3
